time cpu-1-0 cpu-1-32 cpu-1-64 cpu-1-128 cpu-1-256 cpu-1-512 cpu-1-1024
331 0.14% 13.97% 27.79% 55.50% 99.72% 100.15% 102.24%
332 0.46% 14.72% 27.74% 55.58% 100.35% 100.65% 103.09%
333 0.21% 12.28% 25.95% 51.77% 96.19% 99.15% 110.03%
334 0.20% 11.97% 28.65% 57.35% 96.01% 99.66% 105.14%
335 0.14% 12.73% 25.86% 52.92% 99.76% 99.95% 107.98%
336 0.15% 10.98% 22.42% 73.85% 89.63% 100.31% 102.53%
337 0.23% 13.63% 28.12% 55.83% 99.49% 99.83% 102.17%
338 0.31% 14.03% 28.33% 55.56% 99.61% 100.59% 101.65%
339 0.19% 14.10% 27.00% 54.52% 99.83% 99.56% 104.38%
340 0.21% 13.27% 27.26% 55.31% 99.53% 100.47% 103.12%
341 0.39% 13.62% 26.01% 51.80% 99.32% 99.86% 108.18%
342 0.20% 13.58% 27.56% 55.45% 97.92% 99.24% 102.10%
343 0.25% 11.49% 29.06% 57.76% 97.90% 99.95% 104.48%
344 0.32% 9.50% 28.23% 57.06% 99.16% 100.37% 105.52%
345 0.22% 8.19% 27.32% 54.40% 98.18% 98.62% 109.12%
346 0.17% 14.14% 28.44% 56.65% 100.53% 100.99% 100.46%
347 0.15% 13.76% 27.48% 54.58% 99.14% 98.96% 102.89%
348 0.24% 14.31% 28.02% 56.49% 99.66% 100.11% 101.06%
349 0.13% 13.05% 26.99% 54.40% 99.72% 100.46% 105.31%
350 0.28% 14.00% 27.97% 55.30% 98.80% 99.64% 102.65%
351 0.23% 11.71% 20.39% 77.92% 80.29% 100.33% 108.19%
352 0.26% 11.62% 26.47% 59.21% 98.63% 100.44% 102.91%
353 0.48% 12.12% 23.77% 60.12% 96.77% 99.74% 105.45%
354 0.38% 12.23% 33.89% 52.75% 97.25% 99.24% 103.07%
355 0.18% 13.60% 26.67% 52.79% 97.33% 100.34% 103.97%
356 0.16% 11.84% 23.29% 66.13% 88.75% 99.45% 109.40%
357 0.18% 13.18% 26.53% 53.03% 100.00% 99.61% 106.48%
358 0.22% 13.27% 27.27% 54.60% 99.97% 99.47% 104.46%
359 0.23% 13.82% 28.17% 54.99% 101.08% 99.68% 103.28%
360 0.45% 14.15% 27.51% 55.27% 99.65% 98.94% 100.81%
361 0.25% 13.44% 27.03% 53.75% 99.16% 99.10% 105.41%
362 0.20% 14.90% 22.82% 59.80% 100.31% 98.33% 101.34%
363 0.72% 10.23% 18.98% 66.48% 86.97% 98.15% 113.13%
364 0.12% 11.53% 23.10% 62.65% 96.40% 99.80% 106.28%
365 0.14% 13.53% 26.30% 59.78% 97.35% 99.61% 102.71%
366 0.27% 12.28% 24.93% 57.36% 99.41% 99.65% 104.81%
367 0.17% 13.78% 27.21% 55.42% 100.95% 99.99% 103.90%
368 0.34% 13.63% 27.37% 54.04% 98.97% 98.69% 103.75%
369 0.16% 13.68% 26.96% 53.69% 100.63% 100.12% 105.24%
370 0.24% 13.60% 27.54% 55.56% 100.44% 100.67% 102.71%
371 0.10% 12.96% 25.82% 57.18% 97.75% 99.69% 104.05%
372 0.88% 12.23% 24.07% 66.06% 91.90% 99.47% 102.73%
